"Mage Australia","Mage Australia"
"Invoice PDF","Invoice PDF"
"General","General"
"Enabled","Enabled"
"Logo","Logo"
"PNG/JPG shown top-left of the invoice.","PNG/JPG shown top-left of the invoice."
"Store Name","Store Name"
"Store Address","Store Address"
"Free text, shown under the store name (one line per row).","Free text, shown under the store name (one line per row)."
"ABN","ABN"
"Bank Details (footer)","Bank Details (footer)"
"Free text, shown in the footer (one line per row).","Free text, shown in the footer (one line per row)."
"Invoice PDF Section","Invoice PDF Section"
